silabo,frekvenco,procento
(d|i|k),755,0.0060
(t|i|k),751,0.0060
(r|e|b),751,0.0060
(s|a|l),751,0.0060
(bl|e),747,0.0060
(∅|a|lt),746,0.0059
(ĥ|o),744,0.0059
(ŝ|o|n),732,0.0058
(n|e|ŭ),713,0.0057
(sk|a),708,0.0056
(fr|u|k),704,0.0056
(br|a|n),703,0.0056
(p|o|ŝ),682,0.0054
(tr|o|m),679,0.0054
(sp|o),678,0.0054
(vj|u),670,0.0053
(∅|i|r),667,0.0053
(fr|i),667,0.0053
(kl|e),665,0.0053
(l|o|f),661,0.0053
(d|i|g),660,0.0053
(r|u|p),657,0.0052
(l|a|nd),652,0.0052
(v|i|v),649,0.0052
(c|a|jn),647,0.0052
(n|o|b),640,0.0051
(b|e|n),636,0.0051
(h|i|n),633,0.0050
(h|e|r),624,0.0050
(l|i|g),622,0.0050
(ĉ|o|jn),620,0.0049
(f|a|l),620,0.0049
(l|o|m),612,0.0049
(z|i|g),606,0.0048
(kt|e),603,0.0048
(g|a|ŭ),601,0.0048
(pl|u|r),601,0.0048
(b|i|r),598,0.0048
(br|o|jn),587,0.0047
(z|i|n),586,0.0047
(m|e|k),583,0.0046
(sk|o),583,0.0046
(d|o|l),581,0.0046
(∅|e|t),579,0.0046
(d|o|p),579,0.0046
(h|o|m),576,0.0046
(c|i|k),574,0.0046
(j|o|r),568,0.0045
(v|u|n),564,0.0045
(m|a|js),561,0.0045
(ŝl|o),560,0.0045
(r|u|b),554,0.0044
(tn|e),554,0.0044
(br|u|s),549,0.0044
(r|o|r),548,0.0044
(j|i),548,0.0044
(l|e|b),546,0.0044
(n|a|r),546,0.0044
(sk|u|r),539,0.0043
(r|i|p),538,0.0043
(ŝt|e),535,0.0043
(bl|i|n),532,0.0042
(bl|u),531,0.0042
(l|i|k),529,0.0042
(z|a|r),528,0.0042
(∅|u|s),526,0.0042
(t|o|r),526,0.0042
(gr|a|nd),525,0.0042
(ĉ|e|r),523,0.0042
(l|a|k),508,0.0041
(pr|i|t),505,0.0040
(sk|i),500,0.0040
(kr|a),500,0.0040
(pr|o|s),495,0.0039
(tr|o|jn),493,0.0039
(pr|u|n),492,0.0039
(l|o|ng),489,0.0039
(m|a|k),487,0.0039
(str|i),478,0.0038
(sk|u),475,0.0038
(∅|i|g),469,0.0037
(ps|i),469,0.0037
(n|u|f),456,0.0036
(d|e|p),453,0.0036
(k|o|l),450,0.0036
(l|i|t),449,0.0036
(d|a|nk),448,0.0036
(ŝ|o|jn),445,0.0035
(h|a|r),444,0.0035
(ŝp|a),440,0.0035
(n|e|g),435,0.0035
(st|o|j),434,0.0035
(st|o|n),434,0.0035
(h|e|b),433,0.0035
(gr|i),429,0.0034
(f|i|nn),428,0.0034
(tr|u|k),428,0.0034
(j|a|s),427,0.0034
(b|o|m),426,0.0034
(g|i|n),421,0.0034
(ŝ|a|r),420,0.0033
(j|i|s),419,0.0033
(ŝt|u),416,0.0033
(gv|o|jn),415,0.0033
(gv|a|n),412,0.0033
(t|e|ĥ),411,0.0033
(b|o|s),410,0.0033
(r|o|l),407,0.0032
(s|e|g),407,0.0032
(br|a|j),405,0.0032
(gl|a|n),404,0.0032
(sk|a|n),395,0.0032
(gv|e),395,0.0032
(s|a|k),395,0.0032
(gl|u),393,0.0031
(k|e|r),391,0.0031
(pl|o|n),390,0.0031
(z|a|jn),384,0.0031
(j|a|j),383,0.0031
(ŝ|e|r),382,0.0030
(d|a|p),381,0.0030
(pl|o|j),378,0.0030
(n|e|t),377,0.0030
(ĥ|e),375,0.0030
(z|e|b),371,0.0030
(∅|u|m),371,0.0030
(tr|i|k),370,0.0030
(r|i|t),362,0.0029
(fl|e),361,0.0029
(v|e|rs),361,0.0029
(st|u|l),360,0.0029
(tr|e|j),357,0.0028
(gr|u|n),356,0.0028
(gl|e),354,0.0028
(kl|a|ŭ),349,0.0028
(vj|e|t),349,0.0028
(fl|u|g),349,0.0028
(n|a|k),347,0.0028
(ĉ|i|p),346,0.0028
(f|o|jn),346,0.0028
(l|u|m),345,0.0028
(gl|i),340,0.0027
(k|e|n),336,0.0027
(ĵ|a),333,0.0027
(dr|e),332,0.0026
(kt|o|j),330,0.0026
(∅|u|l),329,0.0026
(p|a|ŝ),328,0.0026
(d|a|t),325,0.0026
(j|a|n),324,0.0026
(b|a|b),323,0.0026
(ŝt|a|t),322,0.0026
(k|u|p),320,0.0026
(ĉ|a|g),320,0.0026
(sv|i),317,0.0025
(sv|i|s),316,0.0025
(g|o|l),314,0.0025
(b|i|n),313,0.0025
(d|u|l),312,0.0025
(n|u|k),311,0.0025
(kt|u),310,0.0025
(r|a|r),306,0.0024
(r|a|nt),305,0.0024
(s|a|b),305,0.0024
(fr|u|n),303,0.0024
(∅|o|p),302,0.0024
(s|i|nt),300,0.0024
(ĉ|o|s),300,0.0024
(m|u|s),300,0.0024
(p|u|l),297,0.0024
(l|i|ŝ),293,0.0023
(g|o|r),290,0.0023
(p|a|l),289,0.0023
(m|u|n),288,0.0023
(sf|e),287,0.0023
(h|o|r),284,0.0023
(v|i|t),283,0.0023
(h|o|l),282,0.0022
(m|o|ns),280,0.0022
(pl|i|g),279,0.0022
(ŝ|i|r),276,0.0022
(t|a|ĉ),274,0.0022
(s|i|l),273,0.0022
(p|a|jn),270,0.0022
(f|a|jn),267,0.0021
(kt|o|n),266,0.0021
(d|a|v),266,0.0021
(k|e|b),266,0.0021
(m|e|z),265,0.0021
(t|a|l),265,0.0021
(l|a|g),264,0.0021
(m|o|ŝ),258,0.0021
(sp|u),258,0.0021
(ĝ|a|jn),257,0.0020
(ŝ|o|s),255,0.0020
(str|i|k),254,0.0020
(gr|o),248,0.0020
(pl|u|s),246,0.0020
(p|e|ŝ),246,0.0020
(fl|u|s),243,0.0019
(b|i|t),243,0.0019
(gv|a|jn),242,0.0019
(s|e|b),242,0.0019
(c|o|s),236,0.0019
(r|o|k),236,0.0019
(r|a|g),235,0.0019
(sv|i|n),234,0.0019
(l|e|t),232,0.0019
(h|a|ŭ),231,0.0018
(b|a|p),229,0.0018
(kt|i),229,0.0018
(ŝ|i|l),228,0.0018
(kt|a|n),227,0.0018
(m|e|b),227,0.0018
(st|a|k),225,0.0018
(l|a|p),225,0.0018
(st|a|r),224,0.0018
(l|a|m),223,0.0018
(tr|u|m),223,0.0018
(ŝn|u),223,0.0018
(tr|e|m),222,0.0018
(c|i|n),222,0.0018
(l|i|m),222,0.0018
(pl|a|j),221,0.0018
(sp|o|n),221,0.0018
(z|u|s),220,0.0018
